Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Total,INDIA,Other religious communities,50-59,542521,269604,272917,263933,177394,86539,184318,76795,107523,91281,46479,44802,94270,15415,78855,10540,2352,8188
Total,INDIA,Other religious communities,60-69,384490,177784,206706,126599,85494,41105,104489,47685,56804,37982,20537,17445,153402,44605,108797,7766,2526,5240
Total,INDIA,Other religious communities,70-79,138086,62541,75545,29327,20673,8654,22226,11531,10695,6136,3569,2567,86533,30337,56196,1997,763,1234
Total,INDIA,Other religious communities,80+,45271,20400,24871,7152,4831,2321,5331,2769,2562,1784,1007,777,32788,12800,19988,495,193,302
Total,INDIA,Other religious communities,Age not stated,17054,8628,8426,3927,2523,1404,3093,1432,1661,1475,779,696,10034,4673,5361,473,213,260
Total,INDIA,Other religious communities,15-59,4549278,2262294,2286984,1802585,1160975,641610,1606917,697407,909510,980482,497390,483092,1139776,403912,735864,284993,119235,165758
Total,INDIA,Other religious communities,60+,567847,260725,307122,163078,110998,52080,132046,61985,70061,45902,25113,20789,272723,87742,184981,10258,3482,6776
Rural,INDIA,All religious communities,Total,833748852,427781058,405967794,245868421,178095330,67773091,102874671,48741683,54132988,48332810,28802771,19530039,485005760,200944045,284061715,38254008,15370813,22883195
Rural,INDIA,All religious communities,5-9,93807612,48825259,44982353,807814,452342,355472,1078165,550365,527800,233906,126235,107671,91921633,47822552,44099081,769746,406387,363359
Rural,INDIA,All religious communities,10-14,96804494,50488158,46316336,2461196,1490267,970929,3755166,1897085,1858081,1059224,604721,454503,90588132,47100806,43487326,2084893,1140156,944737
Rural,INDIA,All religious communities,15-19,83902472,44570557,39331915,13265532,9213257,4052275,10959538,5982597,4976941,5681644,3610314,2071330,59677402,29374703,30302699,10312059,5709844,4602215
Rural,INDIA,All religious communities,20-24,73835046,38138662,35696384,26970254,19459188,7511066,14414344,7464632,6949712,8231955,5197306,3034649,32450448,11214842,21235606,9422772,4472469,4950303
Rural,INDIA,All religious communities,25-29,66068270,33375989,32692281,32040359,23336334,8704025,13492967,6479788,7013179,7373418,4448826,2924592,20534944,3559867,16975077,5215130,1665344,3549786
Rural,INDIA,All religious communities,30-34,57911779,28934192,28977587,30774663,22207414,8567249,11708048,5193379,6514669,6060012,3481314,2578698,15429068,1533399,13895669,3030242,618714,2411528
Rural,INDIA,All religious communities,35-39,56062707,28125561,27937146,31321754,22346701,8975053,11091946,4763822,6328124,5541217,3113522,2427695,13649007,1015038,12633969,2331394,341982,1989412
Rural,INDIA,All religious communities,40-49,88269236,45429505,42839731,50854565,36838786,14015779,16600765,7067048,9533717,7580725,4289468,3291257,20813906,1523671,19290235,2668226,377721,2290505
Rural,INDIA,All religious communities,50-59,57893302,29326076,28567226,31470188,23149486,8320702,10079182,4323929,5755253,3816549,2194916,1621633,16343932,1852661,14491271,1249675,235613,1014062
Rural,INDIA,All religious communities,60-69,45207515,22139903,23067612,18310474,13647640,4662834,6771821,3338910,3432911,2025840,1252261,773579,20125220,5153353,14971867,801282,250171,551111
Rural,INDIA,All religious communities,70-79,20191317,10091603,10099714,5456662,4339618,1117044,2032102,1189190,842912,463504,316068,147436,12702553,4562795,8139758,229666,91875,137791
Rural,INDIA,All religious communities,80+,7894990,3765796,4129194,1374336,1074898,299438,551231,320666,230565,134785,87954,46831,5969423,2370232,3599191,74825,29769,45056
Rural,INDIA,All religious communities,Age not stated,2913452,1533420,1380032,760624,539399,221225,339396,170272,169124,130031,79866,50165,1813432,823749,989683,64098,30768,33330
Rural,INDIA,All religious communities,15-59,483942812,247900542,236042270,216697315,156551166,60146149,88346790,41275195,47071595,44285520,26335666,17949854,178898707,50074181,128824526,34229498,13421687,20807811
Rural,INDIA,All religious communities,60+,73293822,35997302,37296520,25141472,19062156,6079316,9355154,4848766,4506388,2624129,1656283,967846,38797196,12086380,26710816,1105773,371815,733958
Rural,INDIA,Hindu,Total,684093951,351423647,332670304,207832710,148237459,59595251,86597119,40215927,46381192,40161698,23636019,16525679,389664122,162970261,226693861,29401527,12206828,17194699
Rural,INDIA,Hindu,5-9,75229304,39208999,36020305,660177,367862,292315,856554,436805,419749,180600,97237,83363,73712573,38404332,35308241,566979,299936,267043
Rural,INDIA,Hindu,10-14,78270614,40869523,37401091,1980506,1167940,812566,3002066,1493343,1508723,818918,456659,362259,73288042,38208240,35079802,1489405,815502,673903
Rural,INDIA,Hindu,15-19,68004920,36272394,31732526,10790423,7313957,3476466,8924306,4779343,4144963,4565898,2856887,1709011,48290191,24179094,24111097,7934673,4487421,3447252
Rural,INDIA,Hindu,20-24,60309704,31249789,29059915,22466321,15900743,6565578,11990078,6095127,5894951,6785770,4240180,2545590,25853305,9253919,16599386,7384625,3636833,3747792
Rural,INDIA,Hindu,25-29,54572123,27624340,26947783,27001139,19343327,7657812,11362512,5356161,6006351,6149827,3672525,2477302,16208472,2924852,13283620,4046417,1366472,2679945
Rural,INDIA,Hindu,30-34,48192438,24119112,24073326,26095553,18539741,7555812,9940474,4324269,5616205,5094088,2893646,2200442,12156411,1255102,10901309,2327125,507570,1819555
Rural,INDIA,Hindu,35-39,46748373,23501182,23247191,26618881,18695003,7923878,9433410,3975523,5457887,4663858,2592210,2071648,10696082,830656,9865426,1765555,278769,1486786
Rural,INDIA,Hindu,40-49,73692727,37995885,35696842,43230334,30860285,12370049,14130554,5893457,8237097,6372557,3562102,2810455,16331839,1242143,15089696,2008882,304145,1704737
Rural,INDIA,Hindu,50-59,48591722,24596423,23995299,26853066,19478464,7374602,8622214,3612744,5009470,3212885,1820702,1392183,13116442,1505215,11611227,954045,186485,767560
Rural,INDIA,Hindu,60-69,38169883,18656445,19513438,15663265,11532299,4130966,5821412,2820183,3001229,1705560,1041285,664275,16685206,4303963,12381243,629218,200233,428985
Rural,INDIA,Hindu,70-79,17137392,8554587,8582805,4666355,3685322,981033,1755036,1016088,738948,389677,263421,126256,10716001,3853177,6862824,183724,74304,109420
Rural,INDIA,Hindu,80+,6589162,3137404,3451758,1155854,896622,259232,468915,270296,198619,111503,72014,39489,4964393,1970486,2993907,57909,23653,34256
Rural,INDIA,Hindu,Age not stated,2419286,1266610,1152676,650836,455894,194942,289588,142588,147000,110557,67151,43406,1478862,668128,810734,52970,25505,27465
Rural,INDIA,Hindu,15-59,400112007,205359125,194752882,183055717,130131520,52924197,74403548,34036624,40366924,36844883,21638252,15206631,142652742,41190981,101461761,26421322,10767695,15653627
Rural,INDIA,Hindu,60+,61896437,30348436,31548001,21485474,16114243,5371231,8045363,4106567,3938796,2206740,1376720,830020,32365600,10127626,22237974,870851,298190,572661
Rural,INDIA,Muslim,Total,103504739,52870001,50634738,23778782,19660488,4118294,10787196,6069202,4717994,5507116,3768640,1738476,68938761,27140311,41798450,6397050,2187999,4209051
Rural,INDIA,Muslim,5-9,13976403,7207530,6768873,101321,58712,42609,142239,73494,68745,37183,20544,16639,13732843,7075324,6657519,151235,79458,71777
Rural,INDIA,Muslim,10-14,13643255,7044386,6598869,352607,244195,108412,499972,277292,222680,175243,113807,61436,12790676,6522899,6267777,479204,262490,216714
Rural,INDIA,Muslim,15-19,11298400,5870436,5427964,1805681,1440135,365546,1432245,892240,540005,797402,574172,223230,8060474,3538061,4522413,1742423,877530,864893
Rural,INDIA,Muslim,20-24,9320924,4764687,4556237,3013421,2508599,504822,1648231,995758,652473,978291,698649,279642,4659272,1260330,3398942,1398440,540050,858390
Rural,INDIA,Muslim,25-29,7783051,3892129,3890922,3215776,2691425,524351,1422062,801143,620919,811746,555107,256639,3145213,399561,2745652,817035,186019,631016
Rural,INDIA,Muslim,30-34,6507530,3220159,3287371,2924570,2419603,504967,1179810,624059,555751,644246,424852,219394,2403150,176497,2226653,510457,70556,439901
Rural,INDIA,Muslim,35-39,6201346,3086711,3114635,2925861,2404529,521332,1099457,565847,533610,583364,378057,205307,2176028,116335,2059693,422434,40760,381674
Rural,INDIA,Muslim,40-49,9265802,4768850,4496952,4541237,3781005,760232,1579855,820382,759473,785405,519249,266156,3144710,167463,2977247,488333,46340,441993
Rural,INDIA,Muslim,50-59,5751712,2942781,2808931,2683893,2254061,429832,912390,486115,426275,393301,267022,126279,2155429,202605,1952824,217021,31919,185102
Rural,INDIA,Muslim,60-69,4286108,2157779,2128329,1559390,1303748,255642,602738,358961,243777,217997,155914,62083,2123980,495070,1628910,118583,33073,85510
Rural,INDIA,Muslim,70-79,1783497,908068,875429,455160,390045,65115,178575,118702,59873,52809,39904,12905,1149762,399321,750441,31840,11997,19843
Rural,INDIA,Muslim,80+,743313,360093,383220,130548,109742,20806,56267,35903,20364,17382,12499,4883,556498,214448,342050,12603,4406,8197
